Community Area,Primary Type,Year,Number of Reported Crimes
1,CRIMINAL DAMAGE,2013,4931223353
1,CRIMINAL DAMAGE,2014,3727909787
1,CRIMINAL DAMAGE,2015,4529492283
1,CRIMINAL DAMAGE,2016,4264821419
1,CRIMINAL DAMAGE,2017,6428477938
1,CRIMINAL DAMAGE,2018,1846149837
1,CRIMINAL TRESPASS,2002,456148527
1,CRIMINAL TRESPASS,2003,823996355
1,CRIMINAL TRESPASS,2004,1006096096
1,CRIMINAL TRESPASS,2005,1147329211
1,CRIMINAL TRESPASS,2006,1631775200
1,CRIMINAL TRESPASS,2007,1877612899
1,CRIMINAL TRESPASS,2008,1971535033
1,CRIMINAL TRESPASS,2009,1806939138
1,CRIMINAL TRESPASS,2010,1429538677
1,CRIMINAL TRESPASS,2011,1320340553
1,CRIMINAL TRESPASS,2012,1588129670
1,CRIMINAL TRESPASS,2013,1746676966
1,CRIMINAL TRESPASS,2014,1360907009
1,CRIMINAL TRESPASS,2015,1247708021
1,CRIMINAL TRESPASS,2016,1405789926
1,CRIMINAL TRESPASS,2017,1969527619
1,CRIMINAL TRESPASS,2018,607522902
1,DECEPTIVE PRACTICE,2001,38229590
1,DECEPTIVE PRACTICE,2002,504426077
1,DECEPTIVE PRACTICE,2003,684618341
1,DECEPTIVE PRACTICE,2004,753933725
1,DECEPTIVE PRACTICE,2005,1044571490
1,DECEPTIVE PRACTICE,2006,1226546044
1,DECEPTIVE PRACTICE,2007,1404924035
1,DECEPTIVE PRACTICE,2008,1621857193
1,DECEPTIVE PRACTICE,2009,1647807281
1,DECEPTIVE PRACTICE,2010,1504695714
1,DECEPTIVE PRACTICE,2011,1566247856
1,DECEPTIVE PRACTICE,2012,1398819113
1,DECEPTIVE PRACTICE,2013,1748969594
1,DECEPTIVE PRACTICE,2014,2290093397
1,DECEPTIVE PRACTICE,2015,2356639163
1,DECEPTIVE PRACTICE,2016,2697484993
1,DECEPTIVE PRACTICE,2017,2931107014
1,DECEPTIVE PRACTICE,2018,788571106
1,GAMBLING,2002,51105695
1,GAMBLING,2003,55968446
1,GAMBLING,2004,82764949
1,GAMBLING,2005,71389194
1,GAMBLING,2006,76768843
1,GAMBLING,2007,67886492
1,GAMBLING,2008,83124021
1,GAMBLING,2009,112691919
1,GAMBLING,2010,83248070
1,GAMBLING,2011,73610251
1,GAMBLING,2012,52122661
1,GAMBLING,2015,20097367
1,HOMICIDE,2001,6049
1,HOMICIDE,2002,13079
1,HOMICIDE,2003,13747
1,HOMICIDE,2004,16509
1,HOMICIDE,2005,20089
1,HOMICIDE,2006,10827
1,HOMICIDE,2007,12702
1,HOMICIDE,2008,23237
1,HOMICIDE,2009,24208
1,HOMICIDE,2010,58195
1,HOMICIDE,2011,79874
1,HOMICIDE,2012,122482
1,HOMICIDE,2013,84129
1,HOMICIDE,2014,171593
1,HOMICIDE,2015,132018
1,HOMICIDE,2016,112955
1,HOMICIDE,2017,94007
1,INTERFERENCE WITH PUBLIC OFFICER,2002,10901819
1,INTERFERENCE WITH PUBLIC OFFICER,2003,34234518
1,INTERFERENCE WITH PUBLIC OFFICER,2004,33722142
1,INTERFERENCE WITH PUBLIC OFFICER,2005,75170363
1,INTERFERENCE WITH PUBLIC OFFICER,2006,76521521
1,INTERFERENCE WITH PUBLIC OFFICER,2007,44343174
1,INTERFERENCE WITH PUBLIC OFFICER,2008,57162883
1,INTERFERENCE WITH PUBLIC OFFICER,2009,104914079
1,INTERFERENCE WITH PUBLIC OFFICER,2010,128394173
1,INTERFERENCE WITH PUBLIC OFFICER,2011,171191999
1,INTERFERENCE WITH PUBLIC OFFICER,2012,287808992
1,INTERFERENCE WITH PUBLIC OFFICER,2013,247081785
1,INTERFERENCE WITH PUBLIC OFFICER,2014,192918570
1,INTERFERENCE WITH PUBLIC OFFICER,2015,152275026
1,INTERFERENCE WITH PUBLIC OFFICER,2016,126558055
1,INTERFERENCE WITH PUBLIC OFFICER,2017,165148703
1,INTERFERENCE WITH PUBLIC OFFICER,2018,56389874
1,INTIMIDATION,2002,4625132
1,INTIMIDATION,2003,14156291
1,INTIMIDATION,2004,31262865
1,INTIMIDATION,2005,12402899
1,INTIMIDATION,2006,19957705
1,INTIMIDATION,2007,5511824
1,INTIMIDATION,2008,12599610
1,INTIMIDATION,2009,21097227
1,INTIMIDATION,2010,7833629
1,INTIMIDATION,2011,24501142
1,INTIMIDATION,2012,35481023
1,INTIMIDATION,2013,18330799
1,INTIMIDATION,2014,9597466
1,INTIMIDATION,2015,10231813
1,INTIMIDATION,2016,10448047
1,INTIMIDATION,2017,22126677
1,KIDNAPPING,2002,22420042
1,KIDNAPPING,2003,19385269
1,KIDNAPPING,2004,47427036
1,KIDNAPPING,2005,16657650
1,KIDNAPPING,2006,28914074
1,KIDNAPPING,2007,10948669
1,KIDNAPPING,2008,38337501
1,KIDNAPPING,2009,42159472
1,KIDNAPPING,2011,24583854
1,KIDNAPPING,2012,34071027
1,KIDNAPPING,2013,18403720
1,KIDNAPPING,2014,19067445
1,KIDNAPPING,2016,10637401
1,KIDNAPPING,2017,21940769
1,LIQUOR LAW VIOLATION,2002,54282693
1,LIQUOR LAW VIOLATION,2003,89599223
1,LIQUOR LAW VIOLATION,2004,79843731
1,LIQUOR LAW VIOLATION,2005,119391197
1,LIQUOR LAW VIOLATION,2006,205117234
1,LIQUOR LAW VIOLATION,2007,112586177
1,LIQUOR LAW VIOLATION,2008,89626228
1,LIQUOR LAW VIOLATION,2009,118283403
1,LIQUOR LAW VIOLATION,2010,90578055
1,LIQUOR LAW VIOLATION,2011,114406441
1,LIQUOR LAW VIOLATION,2012,182494389
1,LIQUOR LAW VIOLATION,2013,100894544
1,LIQUOR LAW VIOLATION,2014,78228489
1,LIQUOR LAW VIOLATION,2015,60466875
1,LIQUOR LAW VIOLATION,2016,52701540
1,LIQUOR LAW VIOLATION,2017,22155235
1,MOTOR VEHICLE THEFT,2001,11623750
1,MOTOR VEHICLE THEFT,2002,499511733
1,MOTOR VEHICLE THEFT,2003,542674382
1,MOTOR VEHICLE THEFT,2004,885173509
1,MOTOR VEHICLE THEFT,2005,776047364
1,MOTOR VEHICLE THEFT,2006,974892665
1,MOTOR VEHICLE THEFT,2007,925192135
1,MOTOR VEHICLE THEFT,2008,1122961762
1,MOTOR VEHICLE THEFT,2009,955940236
1,MOTOR VEHICLE THEFT,2010,1398227234
1,MOTOR VEHICLE THEFT,2011,1426339882
1,MOTOR VEHICLE THEFT,2012,1235910152
1,MOTOR VEHICLE THEFT,2013,836113678
1,MOTOR VEHICLE THEFT,2014,1135624579
1,MOTOR VEHICLE THEFT,2015,1147576713
1,MOTOR VEHICLE THEFT,2016,1186468225
1,MOTOR VEHICLE THEFT,2017,1367387559
1,MOTOR VEHICLE THEFT,2018,281334546
1,NARCOTICS,2002,1447229907
1,NARCOTICS,2003,2463094777
1,NARCOTICS,2004,2696431779
1,NARCOTICS,2005,4534919880
1,NARCOTICS,2006,4799678938
1,NARCOTICS,2007,4886432273
1,NARCOTICS,2008,5433369821
1,NARCOTICS,2009,4728517063
1,NARCOTICS,2010,4880500025
1,NARCOTICS,2011,3871781900
1,NARCOTICS,2012,4200271496
1,NARCOTICS,2013,3323173134
1,NARCOTICS,2014,2754180758
1,NARCOTICS,2015,2213160258
1,NARCOTICS,2016,960842292
1,NARCOTICS,2017,736522438
1,NARCOTICS,2018,179907232
1,NON-CRIMINAL,2014,9802908
1,NON-CRIMINAL,2018,11274830
1,OBSCENITY,2008,6133835
1,OBSCENITY,2010,15149684
1,OBSCENITY,2011,17086183
1,OBSCENITY,2012,8928128
1,OBSCENITY,2016,21590856
1,OBSCENITY,2017,10836181
1,OBSCENITY,2018,11267268
1,OFFENSE INVOLVING CHILDREN,2001,36727295
1,OFFENSE INVOLVING CHILDREN,2002,96454791
1,OFFENSE INVOLVING CHILDREN,2003,197098098
1,OFFENSE INVOLVING CHILDREN,2004,215398359
1,OFFENSE INVOLVING CHILDREN,2005,233324330
1,OFFENSE INVOLVING CHILDREN,2006,208881117
1,OFFENSE INVOLVING CHILDREN,2007,265648012
1,OFFENSE INVOLVING CHILDREN,2008,246003046
1,OFFENSE INVOLVING CHILDREN,2009,273034562
1,OFFENSE INVOLVING CHILDREN,2010,230116732
1,OFFENSE INVOLVING CHILDREN,2011,241638365
1,OFFENSE INVOLVING CHILDREN,2012,225760463
1,OFFENSE INVOLVING CHILDREN,2013,211150180
1,OFFENSE INVOLVING CHILDREN,2014,293324156
1,OFFENSE INVOLVING CHILDREN,2015,233481772
1,OFFENSE INVOLVING CHILDREN,2016,349893882
1,OFFENSE INVOLVING CHILDREN,2017,276565286
1,OFFENSE INVOLVING CHILDREN,2018,157768005
1,OTHER NARCOTIC VIOLATION,2002,2133153
1,OTHER NARCOTIC VIOLATION,2003,2601152
1,OTHER NARCOTIC VIOLATION,2017,11069285
1,OTHER OFFENSE,2001,1759155
1,OTHER OFFENSE,2002,1016425350
1,OTHER OFFENSE,2003,1595666483
1,OTHER OFFENSE,2004,1842414865
1,OTHER OFFENSE,2005,2329248118
1,OTHER OFFENSE,2006,2256469773
1,OTHER OFFENSE,2007,2249305805
1,OTHER OFFENSE,2008,2863939825
1,OTHER OFFENSE,2009,3240508519
1,OTHER OFFENSE,2010,2926434495
1,OTHER OFFENSE,2011,3123571168
1,OTHER OFFENSE,2012,3141241594
1,OTHER OFFENSE,2013,2956913014
1,OTHER OFFENSE,2014,2438569042
1,OTHER OFFENSE,2015,2457047401
1,OTHER OFFENSE,2016,2479988600
1,OTHER OFFENSE,2017,2398104732
1,OTHER OFFENSE,2018,799130036
1,PROSTITUTION,2002,133908648
1,PROSTITUTION,2003,336931719
1,PROSTITUTION,2004,434120195
1,PROSTITUTION,2005,522564842
1,PROSTITUTION,2006,814315381
1,PROSTITUTION,2007,540340240
1,PROSTITUTION,2008,506329507
1,PROSTITUTION,2009,223389847
1,PROSTITUTION,2010,227296081
1,PROSTITUTION,2011,40351952
1,PROSTITUTION,2012,259801835
1,PROSTITUTION,2013,109908372
1,PROSTITUTION,2014,272260009
1,PROSTITUTION,2015,100075830
1,PROSTITUTION,2016,159973130
1,PROSTITUTION,2017,33335839
1,PUBLIC INDECENCY,2009,7098160
1,PUBLIC INDECENCY,2016,10520668
1,PUBLIC PEACE VIOLATION,2002,52305944
1,PUBLIC PEACE VIOLATION,2003,90830639
1,PUBLIC PEACE VIOLATION,2004,145549289
1,PUBLIC PEACE VIOLATION,2005,136817602
1,PUBLIC PEACE VIOLATION,2006,172763793
1,PUBLIC PEACE VIOLATION,2007,164587026
1,PUBLIC PEACE VIOLATION,2008,312823346
1,PUBLIC PEACE VIOLATION,2009,398898665
1,PUBLIC PEACE VIOLATION,2010,401857692
1,PUBLIC PEACE VIOLATION,2011,437162068
1,PUBLIC PEACE VIOLATION,2012,417678244
1,PUBLIC PEACE VIOLATION,2013,366556006
1,PUBLIC PEACE VIOLATION,2014,213990118
1,PUBLIC PEACE VIOLATION,2015,283756600
1,PUBLIC PEACE VIOLATION,2016,169437009
1,PUBLIC PEACE VIOLATION,2017,165310361
1,PUBLIC PEACE VIOLATION,2018,56249879
1,ROBBERY,2002,628501321
1,ROBBERY,2003,1081933900
1,ROBBERY,2004,1354466999
1,ROBBERY,2005,1246830986
1,ROBBERY,2006,1283933004
1,ROBBERY,2007,1442247763
1,ROBBERY,2008,1892177143
1,ROBBERY,2009,2285272934
1,ROBBERY,2010,1967333646
1,ROBBERY,2011,2045411971
1,ROBBERY,2012,1759193709
1,ROBBERY,2013,1247417995
1,ROBBERY,2014,1130829143
1,ROBBERY,2015,1077122632
1,ROBBERY,2016,1682206627
1,ROBBERY,2017,1852311555
1,ROBBERY,2018,686262090
1,SEX OFFENSE,2001,10429063
1,SEX OFFENSE,2002,82761050
1,SEX OFFENSE,2003,106910129
1,SEX OFFENSE,2004,129473674
1,SEX OFFENSE,2005,108837930
1,SEX OFFENSE,2006,140357566
1,SEX OFFENSE,2007,164936976
1,SEX OFFENSE,2008,185372772
1,SEX OFFENSE,2009,196412430
1,SEX OFFENSE,2010,200163741
1,SEX OFFENSE,2011,181209774
1,SEX OFFENSE,2012,208266193
1,SEX OFFENSE,2013,305037417
1,SEX OFFENSE,2014,116687514
1,SEX OFFENSE,2015,203960710
1,SEX OFFENSE,2016,254667118
1,SEX OFFENSE,2017,297542568
1,SEX OFFENSE,2018,123863228
1,STALKING,2003,5287904
1,STALKING,2004,6747740
1,STALKING,2005,12932206
1,STALKING,2006,9531588
1,STALKING,2007,22835450
1,STALKING,2008,25745773
1,STALKING,2009,21316856
1,STALKING,2010,15004028
1,STALKING,2011,33427940
1,STALKING,2012,25736575
1,STALKING,2013,18244886
1,STALKING,2014,19410969
1,STALKING,2015,30579941
1,STALKING,2016,43058101
1,STALKING,2017,10858000
1,THEFT,2001,76640925
1,THEFT,2002,2750366882
1,THEFT,2003,4215023951
1,THEFT,2004,5202786751
1,THEFT,2005,5814776600
1,THEFT,2006,7221180937
1,THEFT,2007,7937700663
1,THEFT,2008,7844100378
1,THEFT,2009,7974546147
1,THEFT,2010,8905321305
1,THEFT,2011,9259841183
1,THEFT,2012,9138719802
1,THEFT,2013,9342074197
1,THEFT,2014,8031230537
1,THEFT,2015,8680407285
1,THEFT,2016,9698540360
1,THEFT,2017,13343773409
1,THEFT,2018,3920013220
1,WEAPONS VIOLATION,2002,89611123
1,WEAPONS VIOLATION,2003,184749668
1,WEAPONS VIOLATION,2004,162836844
1,WEAPONS VIOLATION,2005,250004162
1,WEAPONS VIOLATION,2006,243379961
1,WEAPONS VIOLATION,2007,262025007
1,WEAPONS VIOLATION,2008,311559221
1,WEAPONS VIOLATION,2009,340414720
1,WEAPONS VIOLATION,2010,378304658
1,WEAPONS VIOLATION,2011,350277998
1,WEAPONS VIOLATION,2012,633601085
1,WEAPONS VIOLATION,2013,514533224
1,WEAPONS VIOLATION,2014,387121972
1,WEAPONS VIOLATION,2015,293863882
1,WEAPONS VIOLATION,2016,360235340
1,WEAPONS VIOLATION,2017,396712606
1,WEAPONS VIOLATION,2018,146350673
2,ARSON,2002,26085899
2,ARSON,2003,16013447
2,ARSON,2004,27520529
2,ARSON,2005,29540738
2,ARSON,2006,24118464
2,ARSON,2007,45980837
2,ARSON,2008,50653129
2,ARSON,2009,63703140
2,ARSON,2010,76097837
2,ARSON,2011,71962081
2,ARSON,2012,34222295
2,ARSON,2013,17993390
2,ARSON,2014,9461943
2,ARSON,2015,40785908
2,ARSON,2016,31506008
2,ARSON,2017,10911297
2,ARSON,2018,33862259
2,ASSAULT,2002,487570624
2,ASSAULT,2003,758989852
2,ASSAULT,2004,880242696
2,ASSAULT,2005,1123654522
2,ASSAULT,2006,1400015105
2,ASSAULT,2007,1477199608
2,ASSAULT,2008,1994583589
2,ASSAULT,2009,1774378797
2,ASSAULT,2010,2038750527
2,ASSAULT,2011,1662741714
2,ASSAULT,2012,2206604304
2,ASSAULT,2013,2091138314
2,ASSAULT,2014,1975576505
2,ASSAULT,2015,1703420596
2,ASSAULT,2016,2149659687
2,ASSAULT,2017,2650602277
2,ASSAULT,2018,1013470161
2,BATTERY,2001,5046613
2,BATTERY,2002,1356748172
2,BATTERY,2003,2184982380
2,BATTERY,2004,2851901651
2,BATTERY,2005,3389849166
2,BATTERY,2006,4060067092
2,BATTERY,2007,4627165790
2,BATTERY,2008,5352180902
2,BATTERY,2009,5632828631
2,BATTERY,2010,5554424824
2,BATTERY,2011,5591961628
2,BATTERY,2012,5720676905
2,BATTERY,2013,6168804825
2,BATTERY,2014,5762399380
2,BATTERY,2015,5607003324
2,BATTERY,2016,5856162741
2,BATTERY,2017,6488148255
2,BATTERY,2018,2421035663
2,BURGLARY,2002,709060823
2,BURGLARY,2003,948064280
2,BURGLARY,2004,1441927317
2,BURGLARY,2005,1903108501
2,BURGLARY,2006,2299681570
2,BURGLARY,2007,1912898573
2,BURGLARY,2008,2319457725
2,BURGLARY,2009,2930686156
2,BURGLARY,2010,3399262881
2,BURGLARY,2011,3522916376
2,BURGLARY,2012,3022563454
2,BURGLARY,2013,2386924135
2,BURGLARY,2014,2680589337
2,BURGLARY,2015,2416229343
2,BURGLARY,2016,2069017670
2,BURGLARY,2017,2123282789
2,BURGLARY,2018,1046476995
2,CONCEALED CARRY LICENSE VIOLATION,2015,9951461
2,CRIM SEXUAL ASSAULT,2001,24479747
2,CRIM SEXUAL ASSAULT,2002,31545743
2,CRIM SEXUAL ASSAULT,2003,42782611
2,CRIM SEXUAL ASSAULT,2004,52822390
2,CRIM SEXUAL ASSAULT,2005,59976222
2,CRIM SEXUAL ASSAULT,2006,65403948
2,CRIM SEXUAL ASSAULT,2007,51207099
2,CRIM SEXUAL ASSAULT,2008,114950917
2,CRIM SEXUAL ASSAULT,2009,160797458
2,CRIM SEXUAL ASSAULT,2010,153361344
2,CRIM SEXUAL ASSAULT,2011,193440480
2,CRIM SEXUAL ASSAULT,2012,130347700
2,CRIM SEXUAL ASSAULT,2013,114542525
2,CRIM SEXUAL ASSAULT,2014,136866162
2,CRIM SEXUAL ASSAULT,2015,112056269
2,CRIM SEXUAL ASSAULT,2016,201282632
2,CRIM SEXUAL ASSAULT,2017,198051436
2,CRIM SEXUAL ASSAULT,2018,45056400
2,CRIMINAL DAMAGE,2002,1370924618
2,CRIMINAL DAMAGE,2003,2511362840
2,CRIMINAL DAMAGE,2004,3325190648
2,CRIMINAL DAMAGE,2005,4101379052
2,CRIMINAL DAMAGE,2006,5143357565
2,CRIMINAL DAMAGE,2007,5524707383
2,CRIMINAL DAMAGE,2008,5670741322
2,CRIMINAL DAMAGE,2009,5449964149
2,CRIMINAL DAMAGE,2010,5788920492
2,CRIMINAL DAMAGE,2011,5106974702
2,CRIMINAL DAMAGE,2012,4728312486
2,CRIMINAL DAMAGE,2013,4546078160
2,CRIMINAL DAMAGE,2014,4263039840
2,CRIMINAL DAMAGE,2015,4403386687
2,CRIMINAL DAMAGE,2016,4907002197
2,CRIMINAL DAMAGE,2017,5335498970
2,CRIMINAL DAMAGE,2018,1644280493
2,CRIMINAL TRESPASS,2002,151624260
2,CRIMINAL TRESPASS,2003,235002582
2,CRIMINAL TRESPASS,2004,288735007
2,CRIMINAL TRESPASS,2005,493540285
2,CRIMINAL TRESPASS,2006,594552355
2,CRIMINAL TRESPASS,2007,611558182
2,CRIMINAL TRESPASS,2008,647680058
2,CRIMINAL TRESPASS,2009,921094743
2,CRIMINAL TRESPASS,2010,742003432
2,CRIMINAL TRESPASS,2011,758811972
2,CRIMINAL TRESPASS,2012,593707396
2,CRIMINAL TRESPASS,2013,847789365
2,CRIMINAL TRESPASS,2014,773704354
2,CRIMINAL TRESPASS,2015,609254351
2,CRIMINAL TRESPASS,2016,859379853
2,CRIMINAL TRESPASS,2017,1375429340
2,CRIMINAL TRESPASS,2018,236645009
2,DECEPTIVE PRACTICE,2001,20720261
2,DECEPTIVE PRACTICE,2002,435015398
2,DECEPTIVE PRACTICE,2003,678159237
2,DECEPTIVE PRACTICE,2004,682794545
2,DECEPTIVE PRACTICE,2005,732412178
2,DECEPTIVE PRACTICE,2006,1033846082
2,DECEPTIVE PRACTICE,2007,1135230232
2,DECEPTIVE PRACTICE,2008,1493193472
2,DECEPTIVE PRACTICE,2009,1543006883
2,DECEPTIVE PRACTICE,2010,1202746694
2,DECEPTIVE PRACTICE,2011,1580790455
2,DECEPTIVE PRACTICE,2012,1508334314
2,DECEPTIVE PRACTICE,2013,1635475964
2,DECEPTIVE PRACTICE,2014,2010777064
2,DECEPTIVE PRACTICE,2015,2034988852
2,DECEPTIVE PRACTICE,2016,3008725592
2,DECEPTIVE PRACTICE,2017,3230111552
2,DECEPTIVE PRACTICE,2018,1103204859
2,GAMBLING,2002,13910070
2,GAMBLING,2003,26865424
2,GAMBLING,2004,38408020
2,GAMBLING,2005,37969656
2,GAMBLING,2006,40010052
2,GAMBLING,2007,28825929
2,GAMBLING,2008,56198203
2,GAMBLING,2009,36943781
2,GAMBLING,2012,25963106
2,GAMBLING,2014,9849241
2,GAMBLING,2015,40273169
2,GAMBLING,2017,10895897
2,GAMBLING,2018,22513996
2,HOMICIDE,2001,1695
2,HOMICIDE,2003,2224
2,HOMICIDE,2004,2902
2,HOMICIDE,2005,6442
2,HOMICIDE,2006,7286
2,HOMICIDE,2007,33010
2,HOMICIDE,2009,24184
2,HOMICIDE,2010,19278
2,HOMICIDE,2012,123332
2,HOMICIDE,2013,20848
2,HOMICIDE,2014,65023
2,HOMICIDE,2015,88364
2,HOMICIDE,2016,158546
2,HOMICIDE,2017,46771
2,HOMICIDE,2018,11310218
2,INTERFERENCE WITH PUBLIC OFFICER,2002,4835182
2,INTERFERENCE WITH PUBLIC OFFICER,2003,7963949
2,INTERFERENCE WITH PUBLIC OFFICER,2005,12337761
2,INTERFERENCE WITH PUBLIC OFFICER,2006,29192719
2,INTERFERENCE WITH PUBLIC OFFICER,2007,39636078
2,INTERFERENCE WITH PUBLIC OFFICER,2008,63242815
2,INTERFERENCE WITH PUBLIC OFFICER,2009,49358308
2,INTERFERENCE WITH PUBLIC OFFICER,2010,113337198
2,INTERFERENCE WITH PUBLIC OFFICER,2011,130400836
2,INTERFERENCE WITH PUBLIC OFFICER,2012,122068735
2,INTERFERENCE WITH PUBLIC OFFICER,2013,119200536
2,INTERFERENCE WITH PUBLIC OFFICER,2014,164578961
2,INTERFERENCE WITH PUBLIC OFFICER,2015,91151724
2,INTERFERENCE WITH PUBLIC OFFICER,2016,31807355
2,INTERFERENCE WITH PUBLIC OFFICER,2017,43791439
2,INTERFERENCE WITH PUBLIC OFFICER,2018,22537906
2,INTIMIDATION,2002,4520172
2,INTIMIDATION,2003,8356768
2,INTIMIDATION,2004,9824680
2,INTIMIDATION,2005,17513972
2,INTIMIDATION,2006,13981433
2,INTIMIDATION,2007,16400958
2,INTIMIDATION,2008,19065199
2,INTIMIDATION,2009,20242389
2,INTIMIDATION,2010,15059946
2,INTIMIDATION,2011,15898765
2,INTIMIDATION,2012,17442349
2,INTIMIDATION,2013,9494308
2,INTIMIDATION,2014,19084358
2,INTIMIDATION,2015,10004241
2,INTIMIDATION,2016,20803699
2,INTIMIDATION,2017,21927737
2,INTIMIDATION,2018,22519681
2,KIDNAPPING,2002,11321713
2,KIDNAPPING,2003,44539972
2,KIDNAPPING,2004,43890313
2,KIDNAPPING,2005,16501125
2,KIDNAPPING,2006,43067859
2,KIDNAPPING,2007,27698027
2,KIDNAPPING,2008,37793503
2,KIDNAPPING,2009,35283271
2,KIDNAPPING,2010,14936388
2,KIDNAPPING,2011,24915588
2,KIDNAPPING,2012,43228063
2,KIDNAPPING,2013,9234305
2,KIDNAPPING,2014,29236769
2,KIDNAPPING,2016,63296617
2,KIDNAPPING,2017,44302815
2,KIDNAPPING,2018,11292701
2,LIQUOR LAW VIOLATION,2002,34782920
2,LIQUOR LAW VIOLATION,2003,85630841
2,LIQUOR LAW VIOLATION,2004,62748019
2,LIQUOR LAW VIOLATION,2005,113734979
2,LIQUOR LAW VIOLATION,2006,83606620
2,LIQUOR LAW VIOLATION,2007,83142877
2,LIQUOR LAW VIOLATION,2008,76822255
2,LIQUOR LAW VIOLATION,2009,56651288
2,LIQUOR LAW VIOLATION,2010,91066438
2,LIQUOR LAW VIOLATION,2011,89614090
2,LIQUOR LAW VIOLATION,2012,60533889
2,LIQUOR LAW VIOLATION,2013,45874142
2,LIQUOR LAW VIOLATION,2014,47417036
2,LIQUOR LAW VIOLATION,2015,20447347
2,LIQUOR LAW VIOLATION,2016,84301006
2,LIQUOR LAW VIOLATION,2017,43777318
2,LIQUOR LAW VIOLATION,2018,78743316
2,MOTOR VEHICLE THEFT,2001,15556692
2,MOTOR VEHICLE THEFT,2002,622835647
2,MOTOR VEHICLE THEFT,2003,801863363
2,MOTOR VEHICLE THEFT,2004,1530215099
2,MOTOR VEHICLE THEFT,2005,1270233973
2,MOTOR VEHICLE THEFT,2006,1225493283
2,MOTOR VEHICLE THEFT,2007,1026321524
2,MOTOR VEHICLE THEFT,2008,1420120688
